optimization_target,mean_position_size,mean_atr_period,mean_high_period,mean_lower_band_multiplier,mean_upper_band_multiplier,mean_long_size,mean_short_size,mean_avg_train_metric,mean_avg_test_metric,mean_final_test_annualized_return,mean_final_test_max_drawdown,mean_final_test_sharpe_ratio,mean_final_test_sortino_ratio,mean_final_test_end_equity,std_position_size,std_atr_period,std_high_period,std_lower_band_multiplier,std_upper_band_multiplier,std_long_size,std_short_size,std_avg_train_metric,std_avg_test_metric,std_final_test_annualized_return,std_final_test_max_drawdown,std_final_test_sharpe_ratio,std_final_test_sortino_ratio,std_final_test_end_equity,lowest_feasible_return,currency_pair
sharpe,0.5999999999999999,6.6,7.5,1.7,1.5,0.6,0.6,-3.898780679408142,-3.898780679408142,-0.000671926434211867,-0.024471307636028457,-5.190615492734244,-5.95612119424045,99330.68354477428,1.1702778228589004e-16,2.3664319132398464,2.5495097567963922,0.42163702135578396,0.0,1.1702778228589004e-16,1.1702778228589004e-16,2.0503675293024095,2.0503675293024095,0.0023464450861906527,0.009035357720827366,3.0646933379725896,4.04333545752194,2428.422050126822,-0.007711261692783825,/Users/niccolo/Desktop/Quant Finance/Code/Returns_and_Backtest/FOREX/Algo_Trading/data/2y_1h_OHLC_FOREX/EUR_CAD_hourly_data_yahoo
return,0.5249999999999999,4.5,5.1,2.15,1.95,0.52,0.5,5.590319742537445,5.590319742537445,-0.00014334389504343513,-0.0152518836135638,-14.743675278904234,-11.711523716868252,99847.25176283767,0.1687371394276382,2.1213203435596424,2.4698178070456938,0.4743416490252569,0.43779751788545657,0.1686548085423136,0.14142135623730953,12.481681373664928,12.481681373664928,0.0020625627013795508,0.009066001314215838,21.273010971324346,15.748237640702389,2135.393408300334,-0.006331031999182088,/Users/niccolo/Desktop/Quant Finance/Code/Returns_and_Backtest/FOREX/Algo_Trading/data/2y_1h_OHLC_FOREX/EUR_CAD_hourly_data_yahoo
